label,text
ham,Hi there! How are you doing today?
ham,Can we meet for lunch tomorrow?
ham,Thanks for the help yesterday!
ham,What time does the movie start?
ham,Running 5 minutes late sorry!
ham,Did you see the game last night?
ham,Birthday party on Saturday at 7pm
ham,Can you pick up milk on your way home?
ham,Great job on the presentation!
ham,Let us catch up this weekend
ham,The restaurant was amazing
ham,Do not forget mom birthday next week
ham,I will be there in 10 minutes
ham,What did the doctor say?
ham,The weather is beautiful today
ham,Just finished reading that book
ham,Traffic was terrible this morning
ham,Book club meeting next Thursday
ham,The garden is blooming nicely
ham,Yoga class was great today
spam,WINNER You have won a 1000 dollar gift card Claim now
spam,URGENT Your account will be suspended Verify immediately
spam,FREE iPhone 15 Just pay shipping Order now
spam,Congratulations You have been selected for a exclusive offer
spam,MAKE MONEY FAST Work from home and earn 5000 dollars per week
spam,VIAGRA 80 percent OFF Limited time offer Buy now
spam,Your inheritance of 2.5 million pounds is waiting Contact us
spam,ALERT Suspicious activity detected Click here to verify
spam,Weight loss miracle Lose 30 pounds in 30 days
spam,URGENT MESSAGE You have won a lottery Send details to claim
spam,CASH ADVANCE Get up to 10000 dollars today Bad credit OK
spam,SECRET SHOPPER wanted Earn 150 dollars per hour
spam,CONGRATULATIONS Free cruise for 2 Call now
spam,INVESTMENT OPPORTUNITY Double your money in 30 days
spam,Pharmacy Alert Your prescription is ready Pickup
spam,YOU HAVE BEEN SELECTED for exclusive credit card offer
spam,EMERGENCY Your computer is infected Call tech support
spam,LIMITED TIME OFFER Buy one get one FREE
spam,Work from home No experience necessary Earn 500 dollars daily
spam,FINAL NOTICE Your car warranty is expiring Call now
ham,Picked up the dry cleaning
ham,New recipe turned out delicious
ham,Walking the dog in the park
ham,Library books are due Friday
ham,Guitar lesson at 6pm
ham,Grocery shopping after work
ham,Movie night at our place
ham,Plumber coming to fix the leak
ham,Need to call the electrician
ham,Dentist appointment at 2pm
ham,Haircut scheduled for Saturday
ham,Car wash this afternoon
ham,Baking cookies for the neighbors
ham,Planting flowers in the garden
ham,Reading before bed
spam,Buy now at cheap-pills.com
spam,Call 1-800-SCAM now
spam,Click link to verify your account
spam,Contact solicitor at gmail.com immediately
spam,Visit luxury-fakes.com for deals
spam,Order now at bit.ly link
spam,Call 1-888-SCAM-USA for cruise
spam,Apply at fake-grants.gov for grant
spam,Reschedule at fake-fedex.com
spam,Claim at scam-prizes.net
spam,Wire money immediately to help
spam,Send your details to claim prize
spam,Pay only shipping to claim
spam,Taxes and fees required
spam,Customs fee must be paid
spam,Call 555-SCAM to extend coverage
spam,Shop at counterfeit-goods.com
spam,Apply now at fake-insurance.com
spam,Order at fake-pharmacy.com
spam,Verify at email-phishing.com
spam,Double your Bitcoin in 24 hours
spam,Secret cryptocurrency will make you rich
spam,Invest 100 dollars earn 10000 dollars
spam,Pre-IPO shares available now
spam,Gold prices skyrocketing tomorrow
spam,Lottery winner selected
spam,You qualify for government grant
spam,Debt forgiveness available
spam,Loan approval guaranteed
spam,Credit card pre-approved
spam,Work flexible hours from home
spam,Earn thousands weekly
spam,Be your own boss
spam,No experience needed
spam,Start immediately
spam,Exclusive membership offer
spam,Access to millionaires club
spam,Join now for free
spam,Limited spots available
spam,Act now before its too late
spam,Your package delivery failed
spam,Reschedule delivery now
spam,Pay customs fee
spam,Signature required
spam,Tracking number enclosed
spam,Computer infected with virus
spam,Download antivirus now
spam,Call tech support immediately
spam,Errors detected on your computer
spam,Critical system failure
spam,Inheritance from distant relative
spam,Contact lawyer to claim
spam,Beneficiary notification
spam,Estate worth millions
spam,Swiss bank account
spam,Social security suspended
spam,Call immediately to reactivate
spam,Account under investigation
spam,Verify your identity
spam,Fraud alert detected
spam,Bank account compromised
spam,Transfer funds to secure account
spam,Account frozen
spam,Merge accounts required
spam,Audit in progress
spam,Email quota exceeded
spam,Upgrade to continue
spam,Account will be closed
spam,Save your messages
spam,Backup required
spam,Warranty expired
spam,Call to renew coverage
spam,Void warranty notice
spam,Extended warranty offer
spam,Protection plan available
spam,Computer sending spam
spam,Broadcasting viruses
spam,Part of botnet
spam,Mining cryptocurrency illegally
spam,Hacking attempts detected
spam,Social media hacked
spam,Verify account now
spam,Account will be deleted
spam,Login attempt detected
spam,Password reset required
spam,Email contains illegal content
spam,Delete to avoid prosecution
spam,Evidence in crime
spam,Preserve messages
spam,Classified information
spam,Computer obsolete
spam,Upgrade PC now
spam,System out of date
spam,New version available
spam,Update required
spam,Exclusive loan offer
spam,Bad credit welcome
spam,Low interest guaranteed
spam,Instant approval
spam,No questions asked
spam,Free tablet offer
spam,Pay only shipping
spam,Claim your prize
spam,Lucky winner selected
spam,Daily drawing winner
spam,Computer has spyware
spam,Download removal tool
spam,Infected files detected
spam,Malware alert
spam,Trojan horse found
spam,Ransomware detected
spam,Pay to unlock
spam,Files encrypted
spam,Computer locked
spam,Fine required
spam,IRS notice
spam,Back taxes owed
spam,Avoid arrest
spam,Pay immediately
spam,Legal action threatened
spam,Loan forgiveness
spam,Eliminate all debts
spam,Debt relief program
spam,Credit repair
spam,Financial assistance
spam,Government stimulus check
spam,Direct deposit
spam,Unclaimed funds
spam,Free money
spam,Cash grant
spam,Tech support alert
spam,Error message sent
spam,Call for help
spam,Immediate assistance
spam,Critical error
spam,Prize notification
spam,Shopping spree
spam,Luxury vacation
spam,Expensive gift
spam,Premium reward
spam,Employment offer
spam,High salary
spam,Benefits included
spam,Bonus available
spam,Raise guaranteed
spam,Business proposal
spam,Investment opportunity
spam,Partnership offer
spam,Joint venture
spam,Profit sharing
spam,Health alert
spam,New virus detected
spam,Protection kit
spam,Order now
spam,Limited supply
spam,Miracle cure
spam,Doctors hate this
spam,One weird trick
spam,Secret revealed
spam,Breakthrough discovery
spam,Weight loss
spam,Diet pill
spam,Fat burner
spam,Slim fast
spam,Thin quick
spam,Make money
spam,Work home
spam,Earn cash
spam,Get paid
spam,Income
spam,Free gift
spam,No cost
spam,Complimentary
spam,Gratis
spam,Zero price
spam,Win now
spam,Claim prize
spam,Get reward
spam,Collect bonus
spam,Receive gift
spam,Urgent
spam,Immediate
spam,Now
spam,Today
spam,ASAP
spam,Act fast
spam,Hurry
spam,Quick
spam,Speed
spam,Instant
spam,Buy now
spam,Order today
spam,Purchase
spam,Shop
spam,Spend
spam,Free money
spam,Cash prize
spam,Win big
spam,Jackpot
spam,Lottery
spam,Call now
spam,Dial
spam,Phone
spam,Toll free
spam,1-800
spam,Email
spam,Click link
spam,Visit site
spam,Web address
spam,URL
spam,Password
spam,Username
spam,Login
spam,Account access
spam,Verify identity
spam,Credit card
spam,Bank account
spam,SSN
spam,Personal info
spam,Financial data
spam,Wire transfer
spam,Send money
spam,Western Union
spam,MoneyGram
spam,Cash app
spam,Investment
spam,Stock
spam,Bond
spam,Mutual fund
spam,ETF
spam,Cryptocurrency
spam,Bitcoin
spam,Ethereum
spam,Dogecoin
spam,Altcoin
spam,Forex
spam,Trading
spam,Market
spam,Exchange
spam,Broker
spam,Real estate
spam,Property
spam,Mortgage
spam,Refinance
spam,Home loan
spam,Insurance
spam,Policy
spam,Coverage
spam,Claim
spam,Premium
spam,Tax
spam,Return
spam,Refund
spam,Deduction
spam,Exemption
spam,IRS
spam,Tax debt
spam,Audit
spam,Penalty
spam,Fine
spam,Lottery
spam,Powerball
spam,Mega Millions
spam,Scratch off
spam,Winning numbers
spam,Casino
spam,Gambling
spam,Slots
spam,Poker
spam,Blackjack
spam,Sweepstakes
spam,Contest
spam,Giveaway
spam,Promotion
spam,Special offer
spam,Discount
spam,Coupon
spam,Deal
spam,Sale
spam,Clearance
spam,Limited time
spam,While supplies last
spam,One day only
spam,Final hours
spam,Last chance
spam,Exclusive
spam,VIP
spam,Members only
spam,Private
spam,Secret
spam,Confidential
spam,Classified
spam,Top secret
spam,Restricted
spam,Private
spam,Guaranteed
spam,Warranty
spam,Money back
spam,Satisfaction
spam,Results
spam,No risk
spam,Safe
spam,Secure
spam,Protected
spam,Insured
spam,Try free
spam,No cost
spam,Free trial
spam,Sample
spam,Demo
spam,Best price
spam,Lowest rate
spam,Cheapest
spam,Affordable
spam,Budget
spam,Approved
spam,Accepted
spam,Qualified
spam,Eligible
spam,Selected
spam,Congratulations
spam,You won
spam,Winner
spam,Champion
spam,Victor
spam,Special
spam,Unique
spam,Rare
spam,Exclusive
spam,Limited
spam,Amazing
spam,Incredible
spam,Fantastic
spam,Wonderful
spam,Great
spam,Offer
spam,Deal
spam,Discount
spam,Savings
spam,Bonus
spam,Free
spam,Complimentary
spam,Gratis
spam,No charge
spam,Zero cost
spam,Gift
spam,Present
spam,Prize
spam,Reward
spam,Bonus
spam,Win
spam,Earn
spam,Get
spam,Receive
spam,Obtain
spam,Claim
spam,Collect
spam,Redeem
spam,Access
spam,Unlock
spam,Now
spam,Today
spam,Immediately
spam,Last
spam,Final
spam,End
spam,Close
spam,Expire
spam,Done
spam,Finished
spam,Complete
spam,End
spam,Over
spam,Go
spam,Get
spam,Have
spam,Be
spam,Do
spam,Want
spam,Need
spam,Like
spam,Love
spam,Enjoy
spam,See
spam,Look
spam,Watch
spam,View
spam,Observe
spam,Know
spam,Learn
spam,Understand
spam,Realize
spam,Discover
spam,Think
spam,Believe
spam,Feel
spam,Hope
spam,Wish
spam,Make
spam,Create
spam,Build
spam,Develop
spam,Design
spam,Use
spam,Try
spam,Test
spam,Experience
spam,Enjoy
spam,Help
spam,Support
spam,Assist
spam,Aid
spam,Guide
spam,Save
spam,Keep
spam,Store
spam,Preserve
spam,Protect
spam,Give
spam,Provide
spam,Offer
spam,Supply
spam,Deliver
spam,Take
spam,Get
spam,Receive
spam,Obtain
spam,Acquire
spam,Send
spam,Mail
spam,Post
spam,Ship
spam,Dispatch
spam,Pay
spam,Purchase
spam,Buy
spam,Spend
spam,Invest
spam,Work
spam,Job
spam,Career
spam,Employment
spam,Position
spam,Start
spam,Begin
spam,Launch
spam,Open
spam,Initiate
spam,End
spam,Finish
spam,Complete
spam,Close
spam,Stop
spam,Win
spam,Succeed
spam,Achieve
spam,Accomplish
spam,Reach
spam,Lose
spam,Fail
spam,Quit
spam,Give up
spam,Stop
spam,Try
spam,Attempt
spam,Seek
spam,Look
spam,Search
spam,Find
spam,Discover
spam,Locate
spam,Identify
spam,Detect
spam,Join
spam,Enter
spam,Participate
spam,Engage
spam,Involve
spam,Leave
spam,Exit
spam,Go
spam,Depart
spam,Move
spam,Stay
spam,Remain
spam,Continue
spam,Persist
spam,Endure
spam,Come
spam,Arrive
spam,Reach
spam,Get
spam,Go
spam,See
spam,Meet
spam,Visit
spam,Encounter
spam,Greet
spam,Talk
spam,Speak
spam,Say
spam,Tell
spam,Communicate
spam,Listen
spam,Hear
spam,Sound
spam,Noise
spam,Voice
spam,Read
spam,Write
spam,Type
spam,Text
spam,Message
spam,Call
spam,Phone
spam,Dial
spam,Contact
spam,Reach
spam,Ask
spam,Question
spam,Inquire
spam,Request
spam,Demand
spam,Answer
spam,Reply
spam,Respond
spam,React
spam,Return
spam,Open
spam,Close
spam,Lock
spam,Unlock
spam,Secure
spam,Break
spam,Fix
spam,Repair
spam,Mend
spam,Heal
spam,Eat
spam,Drink
spam,Consume
spam,Taste
spam,Savor
spam,Sleep
spam,Rest
spam,Relax
spam,Repose
spam,Slumber
spam,Wake
spam,Rise
spam,Get up
spam,Stand
spam,Arise
spam,Sit
spam,Stand
spam,Lie
spam,Lean
spam,Rest
spam,Walk
spam,Run
spam,Jog
spam,Sprint
spam,Dash
spam,Jump
spam,Leap
spam,Hop
spam,Skip
spam,Bounce
spam,Dance
spam,Sing
spam,Play
spam,Act
spam,Perform
spam,Laugh
spam,Cry
spam,Smile
spam,Frown
spam,Grin
spam,Love
spam,Hate
spam,Like
spam,Dislike
spam,Enjoy
spam,Want
spam,Need
spam,Desire
spam,Wish
spam,Hope
spam,Have
spam,Own
spam,Possess
spam,Hold
spam,Keep
spam,Give
spam,Take
spam,Get
spam,Receive
spam,Obtain
spam,Make
spam,Do
spam,Create
spam,Build
spam,Construct
spam,Use
spam,Try
spam,Test
spam,Attempt
spam,Seek
spam,Find
spam,Discover
spam,Locate
spam,Identify
spam,Detect
spam,Join
spam,Enter
spam,Participate
spam,Engage
spam,Involve
spam,Leave
spam,Exit
spam,Go
spam,Depart
spam,Move
spam,Stay
spam,Remain
spam,Continue
spam,Persist
spam,Endure
spam,Come
spam,Arrive
spam,Reach
spam,Get
spam,Go
spam,See
spam,Meet
spam,Visit
spam,Encounter
spam,Greet
spam,Talk
spam,Speak
spam,Say
spam,Tell
spam,Communicate
spam,Listen
spam,Hear
spam,Sound
spam,Noise
spam,Voice
spam,Read
spam,Write
spam,Type
spam,Text
spam,Message
spam,Call
spam,Phone
spam,Dial
spam,Contact
spam,Reach
spam,Ask
spam,Question
spam,Inquire
spam,Request
spam,Demand
spam,Answer
spam,Reply
spam,Respond
spam,React
spam,Return
spam,Open
spam,Close
spam,Lock
spam,Unlock
spam,Secure
spam,Break
spam,Fix
spam,Repair
spam,Mend
spam,Heal
spam,Eat
spam,Drink
spam,Consume
spam,Taste
spam,Savor
spam,Sleep
spam,Rest
spam,Relax
spam,Repose
spam,Slumber
spam,Wake
spam,Rise
spam,Get up
spam,Stand
spam,Arise
spam,Sit
spam,Stand
spam,Lie
spam,Lean
spam,Rest
spam,Walk
spam,Run
spam,Jog
spam,Sprint
spam,Dash
spam,Jump
spam,Leap
spam,Hop
spam,Skip
spam,Bounce
spam,Dance
spam,Sing
spam,Play
spam,Act
spam,Perform
spam,Laugh
spam,Cry
spam,Smile
spam,Frown
spam,Grin
